ID,Cattle ID,Date/Collection,BRD,Age,PenCode,Bcurtis_Axis1,Bcurtis_Axis2,WU_Axis1,WU_Axis1
Dairy1,Black 151,8/12/20,Healthy,0.88,10,-0.27079474,-0.100918014,-0.170608206,-0.128495643
Dairy10,Black 387,7/21/20,Healthy,0.78,7,-0.195788638,0.052487622,-0.117628355,0.055859877
Dairy100,Orange 63,9/10/20,BRD,0.78,8,-0.219867597,-0.078550328,-0.12069222,-0.026510327
Dairy101,Orange 634,9/30/20,BRD,0.645,3,0.270001002,-0.292600199,0.152075787,-0.025259561
Dairy102,Orange 641,10/14/20,Healthy,0.68,5,0.038511104,0.026857689,0.04008478,-0.061507702
Dairy103,Orange 653,10/14/20,BRD,0.68,5,0.358398488,-0.296806353,0.27517843,-0.076172624
Dairy104,Orange 655,9/30/20,Healthy,0.645,2,0.152082308,-0.107061136,0.126931879,-0.074910079
Dairy106,Orange 705,9/30/20,BRD,0.645,2,0.278783862,-0.244041427,0.140365496,0.029504424
Dairy107,Orange 713,9/30/20,BRD,0.645,2,0.008149241,0.054791509,0.058992331,-0.122889202
Dairy108,Orange 736,10/14/20,Healthy,0.68,5,0.424516586,-0.353788549,0.228463323,0.069443429
Dairy109,Orange 747,11/11/20,Healthy,0.76,4,0.024086498,0.226645508,-0.102022601,-0.025583206
Dairy11,Black 388,7/21/20,BRD,0.78,4,-0.246297639,0.054119376,-0.108348368,0.057926374
Dairy110,Orange 765,12/2/20,BRD,0.71,8,0.206432837,-0.001906422,0.087771553,-0.004520206
Dairy111,Orange 77,8/19/20,BRD,0.72,6,-0.044347398,-0.153345585,-0.027438315,0.049847637
Dairy112,Orange 778,11/11/20,Healthy,0.65,6,0.323638089,-0.210150592,0.143167813,0.052296982
Dairy113,Orange 782,11/18/20,BRD,0.67,5,0.295475761,-0.30382583,0.199589362,0.022959575
Dairy114,Orange 789,11/11/20,BRD,0.65,6,0.290303654,0.006827212,0.128038127,-0.013590317
Dairy115,Orange 83,8/12/20,Healthy,0.7,6,0.006969155,-0.003723875,0.07817191,-0.06157094
Dairy116,Orange 838,12/2/20,BRD,0.71,9,0.321233698,-0.192061384,0.143502813,0.049271966
Dairy117,Orange 841,11/11/20,Healthy,0.65,4,0.349166342,-0.151087449,0.128986125,0.11647725
Dairy118,Orange 847,12/2/20,Healthy,0.71,8,-0.001731798,0.083555029,-0.060187988,-0.042123439
Dairy119,Orange 865,11/18/20,Healthy,0.67,5,0.143351487,-0.081513009,0.030118053,-0.038377144
Dairy12,Black 454,7/21/20,BRD,0.78,7,-0.276007508,-0.139095448,-0.115462708,-0.053936521
Dairy120,Orange 88,8/12/20,Healthy,0.7,6,-0.139359627,-0.092886806,-0.041540619,-0.042458868
Dairy121,Orange 909,11/4/20,Healthy,0.63,5,0.125183652,0.172821679,0.026898711,-0.048340858
Dairy122,Orange 919,12/2/20,Healthy,0.71,9,0.385226938,-0.278813747,0.155161651,0.109128012
Dairy123,Orange 922,11/18/20,BRD,0.67,5,0.073263653,0.13421504,0.014517346,-0.016475971
Dairy124,Orange 924,11/11/20,Healthy,0.65,6,0.183913133,0.179845084,0.070541702,-0.069628862
Dairy125,Orange 939,12/2/20,BRD,0.71,8,0.197855524,0.193268607,0.138242357,-0.010832586
Dairy126,Orange 941,12/2/20,Healthy,0.71,9,0.414242819,-0.163055014,0.250604652,0.091832906
Dairy127,Orange 988,11/4/20,BRD,0.63,5,0.211351275,0.072350368,0.14099967,-0.091535115
Dairy128,Orange 990,12/2/20,Healthy,0.71,8,0.24787993,-0.013626959,0.089431758,0.070154763
Dairy129,Orange 994,11/11/20,BRD,0.65,6,0.187917885,0.152381506,0.041286278,0.029672097
Dairy13,Black 458,7/21/20,BRD,0.78,7,-0.306670513,-0.046178799,-0.153916681,0.01932216
Dairy130,Purple 234,12/2/20,BRD,0.33,10,0.00569201,-0.163621928,-0.006979032,-0.014913851
Dairy131,Yellow 119,8/12/20,BRD,1.15,10,0.008644274,-0.358548219,0.013551823,-0.032237321
Dairy132,Yellow 591,8/12/20,BRD,1,10,-0.232969619,-0.194793523,-0.135607181,-0.022243788
Dairy133,Yellow 869,7/21/20,BRD,0.82,11,0.001573791,-0.034645536,0.037678951,0.059453253
Dairy14,Black 492,7/14/20,BRD,0.76,8,-0.26609816,-0.034176299,-0.117300439,0.04563855
Dairy15,Black 566,7/21/20,BRD,0.68,4,-0.254661421,0.05636077,-0.159077329,-0.003297842
Dairy16,Black 603,9/30/20,BRD,0.88,4,0.12547545,0.015472231,-0.055855832,0.180986616
Dairy17,Black 659,7/14/20,Healthy,0.71,6,-0.256290478,-0.077624889,-0.139706543,0.057820483
Dairy18,Black 661,7/14/20,BRD,0.71,6,0.400424914,-0.359163396,0.282547446,0.042446856
Dairy19,Black 665,7/14/20,Healthy,0.71,6,-0.248613874,-0.004491981,-0.108368983,0.062643719
Dairy2,Black 17,7/21/20,Healthy,0.82,11,-0.279064566,-0.094810912,-0.134758342,-0.01857547
Dairy20,Black 709,8/12/20,Healthy,0.74,10,-0.289951806,-0.106842367,-0.166517126,-0.035272504
Dairy22,Black 884,8/26/20,Healthy,0.74,6,-0.217217404,-0.042515124,-0.107185863,0.019045498
Dairy23,Black 899,9/10/20,Healthy,0.78,8,-0.041850697,-0.339045664,0.069639955,-0.049373891
Dairy24,Black 901,8/19/20,Healthy,0.8,5,-0.341200424,-0.083335376,-0.203386532,-0.063161374
Dairy25,Black 903,8/19/20,Healthy,0.8,6,-0.143082132,0.018247303,-0.024140566,-0.036139011
Dairy26,Black 917,9/10/20,Healthy,0.78,8,-0.188925423,-0.204758035,-0.031146284,-0.063120307
Dairy27,Black 921,8/12/20,BRD,0.7,6,-0.036776195,-0.225833972,0.035224853,-0.100569433
Dairy28,Black 969,8/19/20,BRD,0.8,6,0.083395832,-0.287640283,0.116562407,-0.064753586
Dairy29,Black 973,8/12/20,BRD,0.7,6,-0.230279603,-0.154673115,-0.071530187,-0.058877575
Dairy3,Black 192,7/14/20,BRD,0.8,10,-0.146096178,-0.141915802,-0.088560449,0.097890996
Dairy30,Black 985,8/26/20,Healthy,0.74,6,-0.235663101,-0.103595877,-0.101618969,-0.038884452
Dairy31,Black 986,8/19/20,Healthy,0.8,5,-0.278301836,-0.045382861,-0.145078929,-0.022851025
Dairy32,Black 989,8/12/20,Healthy,0.7,5,-0.246149662,-0.060954217,-0.107367559,-0.061753593
Dairy33,Blue 10,11/18/20,Healthy,0.67,5,0.222052755,-0.144655545,0.05261191,0.056763744
Dairy34,Blue 102,11/18/20,Healthy,0.585,1,0.191254145,0.243637081,0.110181122,0.014114887
Dairy35,Blue 105,11/4/20,BRD,0.55,3,0.159140447,0.185895371,0.148764023,0.086632738
Dairy36,Blue 121,11/18/20,Healthy,0.585,3,0.131409008,0.207441067,0.039922258,-0.038009118
Dairy37,Blue 122,10/28/20,Healthy,0.53,3,0.094977343,0.289899605,0.026708291,0.017658463
Dairy38,Blue 129,10/28/20,BRD,0.53,3,0.120678809,0.322807329,-0.0385477,0.122139546
Dairy39,Blue 139,11/18/20,Healthy,0.585,3,0.088504621,0.375714406,-0.042739574,0.061860707
Dairy4,Black 220,7/14/20,Healthy,0.8,10,-0.250021218,-0.092256805,-0.118146258,-0.003728235
Dairy40,Blue 167,10/28/20,Healthy,0.53,1,0.016181546,0.321500264,-0.087418673,0.028492287
Dairy41,Blue 180,11/11/20,Healthy,0.57,2,0.072622081,0.286411294,-0.006667453,0.009731538
Dairy42,Blue 181,10/28/20,BRD,0.53,1,0.194581781,0.153340646,0.185606354,-0.050600384
Dairy43,Blue 183,11/18/20,Healthy,0.585,1,0.134486801,0.338247491,0.01182744,0.051848798
Dairy44,Blue 187,11/4/20,Healthy,0.55,3,0.104101673,0.263078393,-0.033237494,-0.010290059
Dairy45,Blue 192,10/28/20,Healthy,0.53,3,0.082544977,0.180227858,-0.018394979,-0.029188952
Dairy46,Blue 271,11/4/20,BRD,0.55,3,0.112515712,0.304895135,0.005836336,0.091629016
Dairy47,Blue 371,10/28/20,Healthy,0.45,0,-0.038604867,0.266536591,-0.151165266,0.026741075
Dairy48,Blue 373,10/28/20,BRD,0.45,0,0.058993487,0.30917641,-0.01226016,0.075716021
Dairy49,Blue 374,10/28/20,BRD,0.45,0,0.004243891,0.240525719,-0.086422372,0.023619713
Dairy5,Black 25,7/21/20,Healthy,0.82,11,-0.228303791,-0.024951151,-0.125519002,0.039244903
Dairy50,Blue 383,11/4/20,BRD,0.47,0,0.094978049,0.294619068,-0.008473513,0.046093972
Dairy51,Blue 384,11/4/20,Healthy,0.47,0,0.108355522,0.225050506,0.111939492,-0.041789846
Dairy52,Blue 385,11/4/20,Healthy,0.47,0,-0.008805051,0.221543595,-0.130250872,0.004531361
Dairy53,Blue 386,11/4/20,BRD,0.47,0,0.178793573,0.244909621,0.119963959,0.099715076
Dairy54,Blue 415,12/2/20,BRD,0.54,1,0.185304517,0.133450919,0.119070188,-0.038665144
Dairy55,Blue 416,12/2/20,Healthy,0.54,1,0.099154551,0.279884874,0.076975977,0.026196102
Dairy56,Blue 417,12/2/20,Healthy,0.54,1,-0.104168333,0.125196941,-0.144801863,-0.083425984
Dairy57,Blue 43,10/28/20,Healthy,0.525,3,0.142993301,0.19554888,-0.00145775,0.11458952
Dairy58,Blue 62,11/18/20,BRD,0.58,1,0.245145029,0.167261343,0.163145475,-0.032116676
Dairy59,Blue 64,11/18/20,Healthy,0.58,3,0.081863798,0.280110848,-0.042469649,0.020936685
Dairy6,Black 337,7/14/20,Healthy,0.76,8,-0.241402676,-0.079261872,-0.087655903,0.039374144
Dairy60,Blue 8,11/11/20,BRD,0.56,4,0.061051285,0.235022074,-0.058685729,-0.002975857
Dairy61,Blue 86,11/11/20,Healthy,0.56,2,0.264762134,0.106508599,0.189662976,-0.050974575
Dairy62,Green 905,7/21/20,Healthy,1.45,0,-0.157716592,0.011372545,0.006422382,-0.067824143
Dairy63,Green 918,7/21/20,Healthy,1.45,0,-0.212509365,-0.047184111,-0.033938809,-0.14636344
Dairy64,Orange 106,8/12/20,Healthy,0.7,5,0.121248655,-0.296895355,0.126770035,-0.01849493
Dairy65,Orange 11,8/12/20,BRD,0.7,5,-0.004578201,-0.292919953,0.026845653,-0.00617369
Dairy66,Orange 110,8/26/20,Healthy,0.74,2,-0.200664528,0.05609382,-0.091599805,-0.033141749
Dairy67,Orange 118,8/26/20,BRD,0.74,6,-0.202106737,-0.009164616,-0.125258667,-0.03272783
Dairy68,Orange 16,7/14/20,BRD,0.62,3,-0.045611763,-0.242407997,0.067091114,-0.00118533
Dairy7,Black 340,7/14/20,BRD,0.76,8,-0.197654042,-0.177153658,-0.091283328,0.051558218
Dairy72,Orange 241,8/26/20,BRD,0.61,3,0.10203734,-0.178683938,0.040569116,0.103611651
Dairy74,Orange 248,9/10/20,BRD,0.65,4,-0.172938336,0.13911883,-0.149773605,-0.006056212
Dairy75,Orange 253,8/26/20,Healthy,0.61,1,-0.331679741,-0.061649114,-0.167301366,-0.01097727
Dairy76,Orange 26,7/14/20,Healthy,0.62,3,-0.204395953,0.021213087,-0.151195588,0.019710489
Dairy77,Orange 262,8/26/20,BRD,0.61,2,-0.053312783,0.019434379,0.001735591,0.054589562
Dairy78,Orange 282,8/26/20,BRD,0.61,3,-0.140351448,-0.006608135,-0.076369868,-0.045262961
Dairy79,Orange 293,9/10/20,BRD,0.65,4,-0.088350987,0.13236116,-0.062247171,0.02569566
Dairy8,Black 350,7/14/20,Healthy,0.76,10,-0.196136798,-0.104984225,0.049407687,-0.123639288
Dairy80,Orange 311,9/10/20,Healthy,0.65,4,0.041405631,0.072033852,0.029654418,0.080319616
Dairy81,Orange 327,9/30/20,Healthy,0.71,6,-0.138686049,0.046828475,-0.138753648,-0.014021308
Dairy82,Orange 361,8/26/20,Healthy,0.61,1,-0.188220393,0.090175498,-0.123530466,-0.006242924
Dairy83,Orange 4,7/14/20,Healthy,0.62,3,-0.319132713,-0.005053887,-0.14126156,0.026686822
Dairy84,Orange 425,8/26/20,Healthy,0.61,3,-0.119134032,-0.002416437,-0.07392498,0.01225865
Dairy85,Orange 466,8/26/20,BRD,0.61,1,-0.021315379,0.13549841,0.014547768,0.000544816
Dairy86,Orange 489,8/26/20,Healthy,0.61,2,-0.049481531,0.104572148,0.01601974,0.08844238
Dairy88,Orange 519,7/21/20,BRD,0.45,0,-0.200656115,0.01868309,-0.100252056,-0.045149427
Dairy9,Black 377,7/14/20,Healthy,0.76,8,-0.342033809,-0.133347411,-0.169401232,0.028090169
Dairy90,Orange 549,9/30/20,Healthy,0.645,3,-0.156711237,0.098862135,-0.163833538,-0.037968382
Dairy92,Orange 581,10/14/20,BRD,0.68,6,-0.082739557,-0.021624288,0.051455068,-0.129028553
Dairy93,Orange 587,10/14/20,BRD,0.68,6,0.211508019,-0.180036034,0.125566109,-0.067245028
Dairy94,Orange 6,8/19/20,BRD,0.72,5,0.139163263,-0.339986499,0.165308895,-0.060629089
Dairy95,Orange 604,9/10/20,BRD,0.72,3,0.166751327,-0.074530911,0.069269926,0.077734199
Dairy96,Orange 605,9/10/20,Healthy,0.72,3,-0.151539157,0.100751949,-0.08606544,0.096002174
Dairy97,Orange 606,9/10/20,Healthy,0.72,3,-0.098124424,-0.04115709,0.113658465,0.008091444
Dairy98,Orange 607,9/10/20,BRD,0.72,3,0.320984062,-0.202482327,0.219688564,-0.011322418
Dairy99,Orange 628,10/14/20,Healthy,0.68,6,0.084215316,-0.162870174,0.131783867,-0.154626566