ID,BRD,Date/Collection
Dairy16,1,9/30/20
Dairy69,1,9/30/20
Dairy87,1,9/30/20
Dairy101,1,9/30/20
Dairy106,1,9/30/20
Dairy107,1,9/30/20
Dairy74,1,9/10/20
Dairy79,1,9/10/20
Dairy95,1,9/10/20
Dairy98,1,9/10/20
Dairy100,1,9/10/20
Dairy67,1,8/26/20
Dairy72,1,8/26/20
Dairy77,1,8/26/20
Dairy78,1,8/26/20
Dairy85,1,8/26/20
Dairy28,1,8/19/20
Dairy94,1,8/19/20
Dairy111,1,8/19/20
Dairy27,1,8/12/20
Dairy29,1,8/12/20
Dairy65,1,8/12/20
Dairy131,1,8/12/20
Dairy132,1,8/12/20
Dairy11,1,7/21/20
Dairy12,1,7/21/20
Dairy13,1,7/21/20
Dairy15,1,7/21/20
Dairy88,1,7/21/20
Dairy133,1,7/21/20
Dairy3,1,7/14/20
Dairy7,1,7/14/20
Dairy14,1,7/14/20
Dairy18,1,7/14/20
Dairy68,1,7/14/20
Dairy54,1,12/2/20
Dairy110,1,12/2/20
Dairy116,1,12/2/20
Dairy125,1,12/2/20
Dairy130,1,12/2/20
Dairy35,1,11/4/20
Dairy46,1,11/4/20
Dairy50,1,11/4/20
Dairy53,1,11/4/20
Dairy127,1,11/4/20
Dairy58,1,11/18/20
Dairy113,1,11/18/20
Dairy123,1,11/18/20
Dairy60,1,11/11/20
Dairy114,1,11/11/20
Dairy129,1,11/11/20
Dairy38,1,10/28/20
Dairy42,1,10/28/20
Dairy48,1,10/28/20
Dairy49,1,10/28/20
Dairy92,1,10/14/20
Dairy93,1,10/14/20
Dairy103,1,10/14/20
Dairy71,0,9/30/20
Dairy73,0,9/30/20
Dairy81,0,9/30/20
Dairy89,0,9/30/20
Dairy90,0,9/30/20
Dairy104,0,9/30/20
Dairy105,0,9/30/20
Dairy23,0,9/10/20
Dairy26,0,9/10/20
Dairy80,0,9/10/20
Dairy96,0,9/10/20
Dairy97,0,9/10/20
Dairy22,0,8/26/20
Dairy30,0,8/26/20
Dairy66,0,8/26/20
Dairy70,0,8/26/20
Dairy75,0,8/26/20
Dairy82,0,8/26/20
Dairy84,0,8/26/20
Dairy86,0,8/26/20
Dairy24,0,8/19/20
Dairy25,0,8/19/20
Dairy31,0,8/19/20
Dairy1,0,8/12/20
Dairy20,0,8/12/20
Dairy32,0,8/12/20
Dairy64,0,8/12/20
Dairy115,0,8/12/20
Dairy120,0,8/12/20
Dairy2,0,7/21/20
Dairy5,0,7/21/20
Dairy10,0,7/21/20
Dairy62,0,7/21/20
Dairy63,0,7/21/20
Dairy4,0,7/14/20
Dairy6,0,7/14/20
Dairy8,0,7/14/20
Dairy9,0,7/14/20
Dairy17,0,7/14/20
Dairy19,0,7/14/20
Dairy76,0,7/14/20
Dairy83,0,7/14/20
Dairy21,0,12/2/20
Dairy55,0,12/2/20
Dairy56,0,12/2/20
Dairy118,0,12/2/20
Dairy122,0,12/2/20
Dairy126,0,12/2/20
Dairy128,0,12/2/20
Dairy44,0,11/4/20
Dairy51,0,11/4/20
Dairy52,0,11/4/20
Dairy121,0,11/4/20
Dairy33,0,11/18/20
Dairy34,0,11/18/20
Dairy36,0,11/18/20
Dairy39,0,11/18/20
Dairy43,0,11/18/20
Dairy59,0,11/18/20
Dairy119,0,11/18/20
Dairy41,0,11/11/20
Dairy61,0,11/11/20
Dairy109,0,11/11/20
Dairy112,0,11/11/20
Dairy117,0,11/11/20
Dairy124,0,11/11/20
Dairy37,0,10/28/20
Dairy40,0,10/28/20
Dairy45,0,10/28/20
Dairy47,0,10/28/20
Dairy57,0,10/28/20
Dairy91,0,10/14/20
Dairy99,0,10/14/20
Dairy102,0,10/14/20
Dairy108,0,10/14/20