BRD,Temp,Age,Mbovis_copies,Pm_copies,Hs_copies,Mh_copies,16S_copies
Healthy,103.7,0.8,28549.75,1591172.1,189.0078584,12929.86,163881590.3
BRD,103.8,0.76,299367.64,792174.41,187.3023587,7448.94,75385854.09
Healthy,103,0.71,1315.87,750004,178.6052675,550.77,102316074.7
Healthy,102.5,0.71,101241.91,1360039.03,209.0481689,2039.36,87331449.75
BRD,104.6,0.62,1593.56,100551.57,246.5729598,138342.99,296862708.7
Healthy,102.6,0.62,1436.48,629372.48,207.935736,71838.68,228053833.4
BRD,102.7,0.78,6678.6,1993959.47,277.887159,62871.23,359188848.9
BRD,102.9,0.78,6366.21,815854.45,176.35886,11002.97,189548545.8
BRD,103.3,0.68,3652.82,87524.75,245.08732,1431.95,447870848.6
Healthy,103.3,1.45,942491.32,2970771.4,245.3089065,1360.88,1390636864
BRD,104,0.82,74300.74,148028.33,185.2178899,50034.94,9405954.64
BRD,104.8,0.7,6994.08,292161.75,204.480616,272368.13,382729160.2
Healthy,103.4,0.7,7658.24,263858.61,302.4411893,503.75,261069571.4
Healthy,102.7,0.7,1281.56,927044.95,236.9014185,315690.25,96727958.04
BRD,103.3,1,80488.96,149695.99,172.4254477,9236.69,106366196.9
BRD,104.4,0.8,3623.36,474429.89,208.8324173,102812.58,356912279.6
BRD,103.8,0.72,1709.37,265841.05,343.0467673,10638.78,50917761.81
Healthy,103.4,0.74,248588.19,1118586.26,198.7608178,29664.32,258866838.4
BRD,104.2,0.74,1051721.4,74442.89,162.768203,11910.04,91600579.32
Healthy,102.7,0.61,398414.27,1320834.78,156.985439,1202.99,37935904.73
BRD,102.7,0.61,2191376.84,4855747.57,216.2204045,6225.35,218284274.4
Healthy,103.5,0.61,3600.62,809086.21,240.6944521,585098.6,453906252.9
BRD,105.2,0.61,1072691.12,3199784.63,156.183973,32183.41,588721469.9
BRD,102.9,0.61,213266.99,151424.54,165.5795449,10000.42,123891960.5
Healthy,104.1,0.61,5126487.52,652558.35,151.5956191,2501.82,306620962.9
BRD,103.4,0.61,127423.12,1814340.66,278.5104624,302936.23,36200481.6
Healthy,104,0.78,5732.59,214919.31,265.9864702,6632.96,110713882.1
BRD,103.6,0.65,120327.85,309396.41,181.1110581,2317.72,371914405
Healthy,103.1,0.65,30398.87,1305737.8,157.6762962,132025.09,77687626.79
BRD,104.6,0.72,6469690.98,54684.94,146.7861817,1400380.05,1.54E+11
Healthy,103.4,0.72,60620.1,1592073.67,202.4553821,6575646.15,411855875.3
Healthy,102.8,0.72,56135.78,21244.72,204.3211934,3514604.57,46275074.56
BRD,102.5,0.72,4794374.55,9095662.37,132.0240903,3120351.71,3584980954
Healthy,103.1,0.71,2101.02,124645.62,244.7969631,4042.05,36472842.95
Healthy,102.9,0.71,1476.37,2130416.96,205.7725898,1129.52,236110018.1
BRD,103.6,0.645,15100.97,4378303.1,150.3410108,83742.01,116272199.7
Healthy,103,0.645,2897.65,100383.67,172.2502225,1086.58,73610460.98
BRD,103.3,0.645,1055122.17,360694.84,178.9020276,244620.8,982112330.9
BRD,103.9,0.645,38122.42,745112.84,179.5471622,59143.09,160391990.1
BRD,105.2,0.68,37827.53,463125.53,171.7478488,806088.07,1496127378
Healthy,103.6,0.53,799194.13,395366.12,200.4335044,948253.98,71207305.46
BRD,107.4,0.53,3188843.05,63695.98,158.9499575,59631.72,35873400.24
BRD,104.9,0.53,93188.48,236501.93,373.0098196,258883.5,20785446.07
BRD,106.2,0.45,781162.31,1273257.07,157.1463418,35612.49,61842992.77
BRD,106,0.45,24514.02,1147866.49,183.5966285,89772.79,248682454.3
Healthy,102.7,0.55,21495.23,289700.05,307.8959102,7497.51,40784085.92
BRD,105.6,0.55,97864.55,380328.76,326.6088665,990212.77,34582234.2
BRD,104.6,0.47,888308.93,885992.77,168.1366705,14286.86,38747282.32
BRD,104.1,0.47,2990097.94,1776806.05,134.2567694,607122.45,4.63E+12
Healthy,102.9,0.63,2452.8,103063.24,199.3779342,131349.38,260220433
BRD,105.1,0.63,15433.43,153948.25,231.4329744,28053.13,151065545.1
Healthy,102.9,0.57,9310.9,529217.08,228.4534695,129305.26,15453924.63
BRD,106.5,0.56,66752.19,19996.54,202.1135915,12856.17,2929162.17
Healthy,106.6,0.56,8996.85,1104030.7,198.9626287,328076.65,188202144.7
BRD,104.4,0.65,381594.35,1395735.33,185.6748464,455054.29,78215574.15
Healthy,104,0.65,18682.54,405669.4,178.5679574,78951.89,38502304.75
BRD,104.8,0.65,402762.87,215157.25,157.2531457,23456.38,35660454.22
Healthy,103.6,0.585,87150.88,1885180.05,288.5955109,36515.47,223685399.7
Healthy,102.5,0.58,16676.97,768791.96,225.8077328,34902.26,56280968.14
BRD,104.8,0.67,1656073.14,8437.3,161.912657,11232.11,1064023600
Healthy,102.9,0.67,104715.7,1424037.36,180.0957694,5842.32,104566185.7
BRD,103,0.54,5324624.83,1214918.84,147.8658437,25545.12,608892924.7
Healthy,102.9,0.54,6516.94,2262348.01,162.460306,3869.45,21003857.39
BRD,104.9,0.71,2921358.17,676947.27,145.3247845,12282.34,831889037.2
Healthy,102.5,0.71,38721.23,17723.57,213.5810463,31103.97,19688076.92
BRD,103.8,0.71,567058.28,2166153.21,171.057307,289012.63,620933353.5