ID,BRD,Age,Mbovis_copies,Pm_copies,Hs_copies,Mh_copies,16S_copies
Dairy1,Healthy,0.88,1106.31,310604.68,108.1420289,0,45153064.43
Dairy2,Healthy,0.82,0,113888.46,255.4062087,0,668341682.7
Dairy3,BRD,0.8,6105907.46,251245.6,147.0312221,0,202410627.7
Dairy4,Healthy,0.8,28549.75,1591172.1,189.0078584,12929.86,163881590.3
Dairy5,Healthy,0.82,0,7101.22,317.0590606,100951.23,41998340.46
Dairy6,Healthy,0.76,0,725409.23,261.160493,4834.68,88366077.78
Dairy7,BRD,0.76,0,92502.45,244.4276674,160929.14,70169743.03
Dairy8,Healthy,0.76,0,79981.69,232.0078674,0,11018365.34
Dairy9,Healthy,0.76,0,46653.03,341.9739957,0,48767980.76
Dairy10,Healthy,0.78,0,816468.11,213.450464,2961.57,119818020.6
Dairy11,BRD,0.78,0,983647.84,333.4574696,376294.89,155020255.1
Dairy12,BRD,0.78,6678.6,1993959.47,277.887159,62871.23,359188848.9
Dairy13,BRD,0.78,6366.21,815854.45,176.35886,11002.97,189548545.8
Dairy14,BRD,0.76,299367.64,792174.41,187.3023587,7448.94,75385854.09
Dairy15,BRD,0.68,3652.82,87524.75,245.08732,1431.95,447870848.6
Dairy16,BRD,0.88,3941679.19,602590.28,141.442733,0,1110199616
Dairy17,Healthy,0.71,1315.87,750004,178.6052675,550.77,102316074.7
Dairy18,BRD,0.71,0,52409.96,176.2916108,231007.93,78216426.98
Dairy19,Healthy,0.71,101241.91,1360039.03,209.0481689,2039.36,87331449.75
Dairy20,Healthy,0.74,0,77228.39,251.2119291,1591.23,22145527.93
Dairy22,Healthy,0.74,0,3333.53,305.8184,2073.2,92275946.27
Dairy23,Healthy,0.78,0,5561.9,318.2678448,6651.76,241560169.6
Dairy24,Healthy,0.8,0,1392.93,161.9449867,0,75353998.72
Dairy25,Healthy,0.8,0,245682.52,125.8663414,19066.53,6332889.16
Dairy26,Healthy,0.78,5732.59,214919.31,265.9864702,6632.96,110713882.1
Dairy27,BRD,0.7,0,177464.35,156.5632711,11750.13,237008221.2
Dairy28,BRD,0.8,3623.36,474429.89,208.8324173,102812.58,356912279.6
Dairy29,BRD,0.7,6994.08,292161.75,204.480616,272368.13,382729160.2
Dairy30,Healthy,0.74,0,0,333.4061563,0,56382533.03
Dairy31,Healthy,0.8,0,2896543.39,250.8108253,32348.31,344104019.4
Dairy32,Healthy,0.7,7658.24,263858.61,302.4411893,503.75,261069571.4
Dairy33,Healthy,0.67,0,28939.4,338.049168,0,164343930.8
Dairy34,Healthy,0.585,4930352.03,2879987.46,176.3876151,0,57314414.89
Dairy35,BRD,0.55,0,3123.21,0,982367.78,7477736.75
Dairy36,Healthy,0.585,87150.88,1885180.05,288.5955109,36515.47,223685399.7
Dairy37,Healthy,0.53,799194.13,395366.12,200.4335044,948253.98,71207305.46
Dairy38,BRD,0.53,3188843.05,63695.98,158.9499575,59631.72,35873400.24
Dairy39,Healthy,0.585,0,515950.74,333.2153001,17992.23,8940077.77
Dairy40,Healthy,0.53,36230.61,407244.68,347.0567097,0,40663944.05
Dairy41,Healthy,0.57,9310.9,529217.08,228.4534695,129305.26,15453924.63
Dairy42,BRD,0.53,93188.48,236501.93,373.0098196,258883.5,20785446.07
Dairy43,Healthy,0.585,577954.49,1625148.34,258.0048908,0,17955854.51
Dairy44,Healthy,0.55,21495.23,289700.05,307.8959102,7497.51,40784085.92
Dairy45,Healthy,0.53,0,0,409.2604475,0,31104071.4
Dairy46,BRD,0.55,97864.55,380328.76,326.6088665,990212.77,34582234.2
Dairy47,Healthy,0.45,0,617587.23,235.7556897,0,1140970636
Dairy48,BRD,0.45,781162.31,1273257.07,157.1463418,35612.49,61842992.77
Dairy49,BRD,0.45,24514.02,1147866.49,183.5966285,89772.79,248682454.3
Dairy50,BRD,0.47,888308.93,885992.77,168.1366705,14286.86,38747282.32
Dairy51,Healthy,0.47,0,1345000.67,173.0242091,18302.54,48828715.51
Dairy52,Healthy,0.47,0,185780.8,255.9295059,0,13915064.83
Dairy53,BRD,0.47,2990097.94,1776806.05,134.2567694,607122.45,4.63E+12
Dairy54,BRD,0.54,5324624.83,1214918.84,147.8658437,25545.12,608892924.7
Dairy55,Healthy,0.54,6516.94,2262348.01,162.460306,3869.45,21003857.39
Dairy56,Healthy,0.54,0,2594.94,197.7743238,0,106927258
Dairy57,Healthy,0.525,0,557076.34,0,0,17757361.45
Dairy58,BRD,0.58,484723.86,10741058.82,334.0585048,0,7.24E+11
Dairy59,Healthy,0.58,16676.97,768791.96,225.8077328,34902.26,56280968.14
Dairy60,BRD,0.56,66752.19,19996.54,202.1135915,12856.17,2929162.17
Dairy61,Healthy,0.56,8996.85,1104030.7,198.9626287,328076.65,188202144.7
Dairy62,Healthy,1.45,942491.32,2970771.4,245.3089065,1360.88,1390636864
Dairy63,Healthy,1.45,0,2843.33,255.1921139,0,303921189.9
Dairy64,Healthy,0.7,0,684962.89,330.5692253,7870.03,367019824.6
Dairy65,BRD,0.7,0,1988.9,145.5854977,236277.83,455582882.2
Dairy66,Healthy,0.74,248588.19,1118586.26,198.7608178,29664.32,258866838.4
Dairy67,BRD,0.74,1051721.4,74442.89,162.768203,11910.04,91600579.32
Dairy68,BRD,0.62,1593.56,100551.57,246.5729598,138342.99,296862708.7
Dairy72,BRD,0.61,2191376.84,4855747.57,216.2204045,6225.35,218284274.4
Dairy74,BRD,0.65,120327.85,309396.41,181.1110581,2317.72,371914405
Dairy75,Healthy,0.61,3600.62,809086.21,240.6944521,585098.6,453906252.9
Dairy76,Healthy,0.62,0,105561.86,245.5607528,0,25236953.66
Dairy77,BRD,0.61,1072691.12,3199784.63,156.183973,32183.41,588721469.9
Dairy78,BRD,0.61,213266.99,151424.54,165.5795449,10000.42,123891960.5
Dairy79,BRD,0.65,0,964127.51,173.1143018,1649.16,475833620.5
Dairy80,Healthy,0.65,30398.87,1305737.8,157.6762962,132025.09,77687626.79
Dairy81,Healthy,0.71,1476.37,2130416.96,205.7725898,1129.52,236110018.1
Dairy82,Healthy,0.61,1596581.26,257675.94,171.7756373,0,32998602.79
Dairy83,Healthy,0.62,1436.48,629372.48,207.935736,71838.68,228053833.4
Dairy84,Healthy,0.61,5126487.52,652558.35,151.5956191,2501.82,306620962.9
Dairy85,BRD,0.61,127423.12,1814340.66,278.5104624,302936.23,36200481.6
Dairy86,Healthy,0.61,0,9171865.19,147.880065,11241.7,92030483.48
Dairy88,BRD,0.45,0,121768.52,0,0,4967512471
Dairy90,Healthy,0.645,2897.65,100383.67,172.2502225,1086.58,73610460.98
Dairy92,BRD,0.68,375215.66,5386.99,161.2884706,0,302944388.9
Dairy93,BRD,0.68,0,284969.92,220.9378568,71410.03,86543268.47
Dairy94,BRD,0.72,0,68743.71,312.3523974,0,413587557.1
Dairy95,BRD,0.72,6469690.98,54684.94,146.7861817,1400380.05,1.54E+11
Dairy96,Healthy,0.72,60620.1,1592073.67,202.4553821,6575646.15,411855875.3
Dairy97,Healthy,0.72,56135.78,21244.72,204.3211934,3514604.57,46275074.56
Dairy98,BRD,0.72,4794374.55,9095662.37,132.0240903,3120351.71,3584980954
Dairy99,Healthy,0.68,0,152569.28,209.3198544,0,226090677.5
Dairy100,BRD,0.78,0,522555.88,271.6233781,373529.92,96357275.04
Dairy101,BRD,0.645,112930.58,243509.51,161.0924283,0,491371131.7
Dairy102,Healthy,0.68,0,15340.12,233.682741,601832.11,133043208.3
Dairy103,BRD,0.68,37827.53,463125.53,171.7478488,806088.07,1496127378
Dairy104,Healthy,0.645,43918.44,2961672.88,253.8046999,0,149139248.8
Dairy106,BRD,0.645,1055122.17,360694.84,178.9020276,244620.8,982112330.9
Dairy107,BRD,0.645,38122.42,745112.84,179.5471622,59143.09,160391990.1
Dairy108,Healthy,0.68,0,48940,224.6199469,0,2.61E+11
Dairy109,Healthy,0.76,0,18606.61,214.6936017,0,10689216.52
Dairy110,BRD,0.71,0,713149.39,175.5897694,0,56378457.97
Dairy111,BRD,0.72,1709.37,265841.05,343.0467673,10638.78,50917761.81
Dairy112,Healthy,0.65,25732.07,97683.52,316.5819794,0,350946213.4
Dairy113,BRD,0.67,1656073.14,8437.3,161.912657,11232.11,1064023600
Dairy114,BRD,0.65,381594.35,1395735.33,185.6748464,455054.29,78215574.15
Dairy115,Healthy,0.7,1281.56,927044.95,236.9014185,315690.25,96727958.04
Dairy116,BRD,0.71,2921358.17,676947.27,145.3247845,12282.34,831889037.2
Dairy117,Healthy,0.65,5703630.26,525121.8,217.0833412,0,408908380.3
Dairy118,Healthy,0.71,38721.23,17723.57,213.5810463,31103.97,19688076.92
Dairy119,Healthy,0.67,104715.7,1424037.36,180.0957694,5842.32,104566185.7
Dairy120,Healthy,0.7,0,500311.31,318.9289339,19990.83,65978606.24
Dairy121,Healthy,0.63,2452.8,103063.24,199.3779342,131349.38,260220433
Dairy122,Healthy,0.71,0,50287.75,242.6437631,0,78315943.44
Dairy123,BRD,0.67,0,3886219.01,247.0394457,95611.07,335480067.9
Dairy124,Healthy,0.65,18682.54,405669.4,178.5679574,78951.89,38502304.75
Dairy125,BRD,0.71,567058.28,2166153.21,171.057307,289012.63,620933353.5
Dairy126,Healthy,0.71,0,5906938.45,149.7117941,275.92,1148807162
Dairy127,BRD,0.63,15433.43,153948.25,231.4329744,28053.13,151065545.1
Dairy128,Healthy,0.71,404403.34,2369156.12,237.0423737,0,88328042.68
Dairy129,BRD,0.65,402762.87,215157.25,157.2531457,23456.38,35660454.22
Dairy130,BRD,0.33,56555.5,66724.09,105.0305963,0,1.50E+12
Dairy131,BRD,1.15,0,66132.71,138.47772,0,24431129.62
Dairy132,BRD,1,80488.96,149695.99,172.4254477,9236.69,106366196.9
Dairy133,BRD,0.82,74300.74,148028.33,185.2178899,50034.94,9405954.64